State,Cutoff
Andhra,12
Bengal,10
Bihar - North,10
Bihar - South,10
Chhattisgarh,10
Delhi,17
Gujarat,10
Jammu,10
Jharkhand,10
Karnataka,11
Kashmir & Ladakh,10
Kerala,10
Maharashtra,11
MP State,10
Mumbai,10
Northeast,10
Northwest,12
Odisha,10
Rajasthan,13
Tamil Nadu,10
Telangana,13
UP State,10
Uttarakhand ,10
